2024-07-23 13:24:31.011 I [MediaServer] [1093736-MediaServer] System.cpp:177 systemSetup | core文件大小设置为:18446744073709551615
2024-07-23 13:24:31.012 I [MediaServer] [1093736-MediaServer] System.cpp:186 systemSetup | 文件最大描述符个数设置为:1048576
2024-07-23 13:24:31.012 I [MediaServer] [1093736-MediaServer] main.cpp:258 start_main | ZLMediaKit(git hash:/,branch:,build time:2024-07-12T11:48:44)
2024-07-23 13:24:31.012 D [MediaServer] [1093736-stamp thread] util.cpp:366 operator() | Stamp thread started
2024-07-23 13:24:31.018 W [MediaServer] [1093736-event poller 3] util.cpp:571 setThreadAffinity | pthread_setaffinity_np failed: resource temporarily unavailable
2024-07-23 13:24:31.019 I [MediaServer] [1093736-MediaServer] EventPoller.cpp:587 EventPollerPool | EventPoller created size: 4
2024-07-23 13:24:31.020 I [MediaServer] [1093736-MediaServer] main.cpp:361 start_main | 已启动http api 接口
2024-07-23 13:24:31.020 I [MediaServer] [1093736-MediaServer] main.cpp:363 start_main | 已启动http hook 接口
2024-07-23 13:24:31.021 I [MediaServer] [1093736-MediaServer] TcpServer.cpp:218 start_l | TCP server listening on [::]: 9554
2024-07-23 13:24:31.021 I [MediaServer] [1093736-MediaServer] TcpServer.cpp:218 start_l | TCP server listening on [::]: 332
2024-07-23 13:24:31.021 I [MediaServer] [1093736-MediaServer] TcpServer.cpp:218 start_l | TCP server listening on [::]: 9002
2024-07-23 13:24:31.021 I [MediaServer] [1093736-MediaServer] TcpServer.cpp:218 start_l | TCP server listening on [::]: 443
2024-07-23 13:24:31.021 I [MediaServer] [1093736-MediaServer] TcpServer.cpp:218 start_l | TCP server listening on [::]: 9000
2024-07-23 13:24:31.023 I [MediaServer] [1093736-MediaServer] TcpServer.cpp:218 start_l | TCP server listening on [::]: 10000
2024-07-23 13:24:31.024 I [MediaServer] [1093736-MediaServer] UdpServer.cpp:120 start_l | UDP server bind to [::]: 10000
2024-07-23 13:27:17.976 D [MediaServer] [1093736-event poller 0] RtspPlayer.cpp:88 play | rtsp://192.168.10.75:8554/stream0 null null 0
2024-07-23 13:27:27.955 D [MediaServer] [1093736-event poller 0] RtspPlayerImp.h:31 ~RtspPlayerImp | 
2024-07-23 13:27:27.956 D [MediaServer] [1093736-event poller 0] RtspPlayer.cpp:36 ~RtspPlayer | 
2024-07-23 13:27:59.038 D [MediaServer] [1093736-event poller 1] RtspPlayer.cpp:88 play | rtsp://192.168.10.80:8554/stream0 null null 0
2024-07-23 13:27:59.103 W [MediaServer] [1093736-event poller 1] RtspPlayer.cpp:694 onPlayResult_l | 0 rtsp play success
2024-07-23 13:27:59.103 I [MediaServer] [1093736-event poller 1] PlayerProxy.cpp:133 operator() | play rtsp://192.168.10.80:8554/stream0 success
2024-07-23 13:27:59.189 I [MediaServer] [1093736-event poller 1] MediaSource.cpp:517 emitEvent | 媒体注册:rtsp://__defaultVhost__/live/camb17b6fb360644
2024-07-23 13:27:59.191 D [MediaServer] [1093736-event poller 1] MediaSink.cpp:162 emitAllTrackReady | All track ready use 88ms
2024-07-23 13:27:59.191 I [MediaServer] [1093736-event poller 1] MediaSource.cpp:517 emitEvent | 媒体注册:fmp4://__defaultVhost__/live/camb17b6fb360644
2024-07-23 13:27:59.191 I [MediaServer] [1093736-event poller 1] MultiMediaSourceMuxer.cpp:561 onAllTrackReady | stream: rtsp://192.168.10.80:8554/stream0 , codec info: H264[600/400/15] 
2024-07-23 13:28:00.386 D [MediaServer] [1093736-event poller 3] RtspPlayer.cpp:88 play | rtsp://192.168.10.80:8554/stream1 null null 0
2024-07-23 13:28:00.391 W [MediaServer] [1093736-event poller 3] RtspPlayer.cpp:694 onPlayResult_l | 0 rtsp play success
2024-07-23 13:28:00.392 I [MediaServer] [1093736-event poller 3] PlayerProxy.cpp:133 operator() | play rtsp://192.168.10.80:8554/stream1 success
2024-07-23 13:28:00.451 I [MediaServer] [1093736-event poller 3] MediaSource.cpp:517 emitEvent | 媒体注册:rtsp://__defaultVhost__/live/came68a60cf57418
